threads,wall_s,per_game_s,per_decision_ms,onnx_avg_us,total_games,timestamp
16,579.976,7.249700,305.251,1290.16,80,2026-04-24T10:02:15+02:00
15,548.622,7.314957,288.748,1229.71,75,2026-04-24T10:11:55+02:00
14,529.206,7.560087,278.530,1186.57,70,2026-04-24T10:21:04+02:00
17,646.176,7.602072,340.093,1355.13,85,2026-04-24T10:29:54+02:00
18,686.645,7.629394,361.392,1441.89,90,2026-04-24T10:40:40+02:00
