iteration,opponent,win_rate,win_rate_lower95,win_rate_upper95,score_differential,bid_success_rate_current,bid_success_rate_opponent,policy_loss,value_loss,visit_entropy,kl_divergence,eval_games_played,eval_inconclusive
5,iter_000000,0.535,0.4658664681834379,0.6028143589497348,3.955,0.34147058823529414,0.31941176470588234,0.38206249618824895,0.3110380230195282,0.45589491421758416,0.0633100101324117,200,true
10,iter_000000,0.525,0.45597395960896836,0.5930837740575835,3.27,0.34294117647058825,0.32323529411764707,0.391350625059664,0.17872431095364924,0.4598127167387224,0.05375861243472369,200,true
15,iter_000000,0.545,0.4757861131825747,0.6125178074172186,3.625,0.3426470588235294,0.3220588235294118,0.3961253849791407,0.18090619122166554,0.46977869007786355,0.037662182264767155,200,true
