stage_num,stage_mcts,trial_num,trial_type,parallel_batch_size,batch_timeout_ms,rounds_per_min,is_best_so_far,improvement_vs_baseline,optuna_state
3,3×35,2,random,35,7,770.3043661696155,False,39.813649074014435,COMPLETE
3,3×35,3,random,50,5,766.332441150397,False,39.09272711748092,COMPLETE
3,3×35,4,tpe,13,16,373.5003797735559,False,-32.20802929322551,COMPLETE
3,3×35,5,tpe,59,3,775.0159425090964,True,40.668821016228975,COMPLETE
3,3×35,6,tpe,60,19,728.3349303696692,False,32.19601086959071,COMPLETE
3,3×35,7,tpe,59,3,770.7673459738204,False,39.897681955971656,COMPLETE
3,3×35,8,tpe,19,12,525.733685489207,False,-4.577011065271509,COMPLETE
3,3×35,9,tpe,46,10,763.7742316626665,False,38.6284007819651,COMPLETE
3,3×35,10,tpe,25,3,543.1771435951896,False,-1.410946276629108,COMPLETE
3,3×35,11,tpe,42,7,763.1698901262394,False,38.51871012044772,COMPLETE
3,3×35,12,tpe,53,7,768.2381284994864,False,39.438617799102346,COMPLETE
3,3×35,13,tpe,38,5,768.9805981073674,False,39.57337931644982,COMPLETE
3,3×35,14,tpe,52,12,762.7992284355815,False,38.451433384369345,COMPLETE
3,3×35,15,tpe,28,5,554.7842106683329,False,0.6957877285442058,COMPLETE
3,3×35,16,tpe,42,9,775.9831085741198,True,40.84436593425129,COMPLETE
3,3×35,17,tpe,47,15,762.3188425552643,False,38.36424122262064,COMPLETE
3,3×35,18,tpe,54,9,775.3892814330142,False,40.7365836819839,COMPLETE
3,3×35,19,tpe,44,9,758.8366445701113,False,37.73220688855169,COMPLETE
3,3×35,20,tpe,35,14,764.716802946043,False,38.7994816383499,COMPLETE
3,3×35,21,tpe,56,9,763.4844489544458,False,38.57580393888041,COMPLETE
3,3×35,22,tpe,55,13,762.436064186986,False,38.385517467182154,COMPLETE
3,3×35,23,tpe,49,18,742.2493302720569,False,34.72153598728109,COMPLETE
3,3×35,24,tpe,57,9,762.3160022458884,False,38.36372569390787,COMPLETE
4,4×45,0,baseline,30,10,405.891634240081,True,0.0,COMPLETE
4,4×45,1,random,40,6,415.2369634300166,True,2.3024197597548794,COMPLETE
4,4×45,2,random,35,7,408.9218612632945,False,0.7465606008083338,COMPLETE
4,4×45,3,random,50,5,580.1119426096861,True,42.92286257532362,COMPLETE
4,4×45,4,tpe,59,16,575.9677964782983,False,41.901864411824484,COMPLETE
4,4×45,5,tpe,10,3,214.2245773678587,False,-47.221238553257066,COMPLETE
4,4×45,6,tpe,60,19,568.2206803382732,False,39.993198283602986,COMPLETE
4,4×45,7,tpe,47,12,566.899183834948,False,39.66761963357751,COMPLETE
4,4×45,8,tpe,22,3,305.4034656048076,False,-24.75738846488164,COMPLETE
4,4×45,9,tpe,48,13,552.6563088818283,False,36.15858575565946,COMPLETE
4,4×45,10,tpe,50,8,581.6195944819339,True,43.29430454285034,COMPLETE
4,4×45,11,tpe,50,8,589.6285473494996,True,45.267479694035785,COMPLETE
4,4×45,12,tpe,53,9,580.4818743693824,False,43.01400309867755,COMPLETE
4,4×45,13,tpe,41,8,419.6837945830744,False,3.397990788555034,COMPLETE
4,4×45,14,tpe,43,15,404.36917148602487,False,-0.37509094192258846,COMPLETE
4,4×45,15,tpe,29,10,400.0179012680216,False,-1.4471185105985989,COMPLETE
4,4×45,16,tpe,54,5,581.0301584836295,False,43.149084501691355,COMPLETE
4,4×45,17,tpe,36,14,389.8421990122715,False,-3.9541182606183916,COMPLETE
4,4×45,18,tpe,56,11,571.4506495176078,False,40.78896959467763,COMPLETE
4,4×45,19,tpe,44,8,400.49212210126757,False,-1.3302841653591824,COMPLETE
4,4×45,20,tpe,21,18,277.9134964394528,False,-31.530124546723314,COMPLETE
4,4×45,21,tpe,53,5,579.7486924117493,False,42.83336819621011,COMPLETE
4,4×45,22,tpe,54,5,578.6180799434318,False,42.55481787071886,COMPLETE
4,4×45,23,tpe,50,7,578.0340185022941,False,42.410921965539345,COMPLETE
4,4×45,24,tpe,56,4,575.7378800792249,False,41.84521963778181,COMPLETE
5,5×50,0,baseline,30,10,320.4505582148077,True,0.0,COMPLETE
5,5×50,1,random,40,6,325.90758681091233,True,1.7029237291721688,COMPLETE
5,5×50,2,random,35,7,323.4301842321516,False,0.9298239434947577,COMPLETE
5,5×50,3,random,50,5,468.6784172563661,True,46.256077651204095,COMPLETE
5,5×50,4,tpe,59,16,452.05437300458834,False,41.06836808864681,COMPLETE
5,5×50,5,tpe,10,3,166.31748078605287,False,-48.09886376463566,COMPLETE
5,5×50,6,tpe,60,19,459.49689831946864,False,43.390887155657246,COMPLETE
5,5×50,7,tpe,47,12,320.3306799051593,False,-0.03740929967987618,COMPLETE
5,5×50,8,tpe,22,3,252.85981847871906,False,-21.092408174486785,COMPLETE
5,5×50,9,tpe,48,13,334.85805966014544,False,4.496013839264389,COMPLETE
5,5×50,10,tpe,50,8,474.1782859703021,True,47.97237009412419,COMPLETE
5,5×50,11,tpe,50,8,475.7091018686958,True,48.450077453075814,COMPLETE
5,5×50,12,tpe,53,9,476.3567866112332,True,48.652194355647474,COMPLETE
5,5×50,13,tpe,41,10,326.52568705408004,False,1.895808474516682,COMPLETE
5,5×50,14,tpe,56,15,453.33324806780126,False,41.467454634271,COMPLETE
5,5×50,15,tpe,41,9,326.79004178620227,False,1.9783031762250884,COMPLETE
5,5×50,16,tpe,54,13,458.90551763891443,False,43.20634053359838,COMPLETE
5,5×50,17,tpe,27,5,324.55614499146145,False,1.281191956576856,COMPLETE
5,5×50,18,tpe,44,11,325.2642186022449,False,1.502153846837885,COMPLETE
5,5×50,19,tpe,54,8,470.1393392076813,False,46.71197386166907,COMPLETE
5,5×50,20,tpe,35,20,292.77307595942153,False,-8.63705228337693,COMPLETE
5,5×50,21,tpe,51,8,471.0054716728589,False,46.982259696090054,COMPLETE
5,5×50,22,tpe,45,7,340.5619946895856,False,6.275987343200885,COMPLETE
5,5×50,23,tpe,52,9,472.53363100819445,False,47.459138046325656,COMPLETE
5,5×50,24,tpe,56,5,472.1198263732771,False,47.33000591523416,COMPLETE
