stage_num,stage_mcts,trial_num,trial_type,parallel_batch_size,batch_timeout_ms,rounds_per_min,is_best_so_far,improvement_vs_baseline,optuna_state
1,1×15,0,baseline,30,10,1543.966448465204,True,0.0,COMPLETE
1,1×15,1,random,40,6,1643.030221756442,True,6.416186918421278,COMPLETE
1,1×15,2,random,35,7,1599.246418328003,False,3.5803867317033196,COMPLETE
1,1×15,3,random,50,5,1622.5176542547754,False,5.087623883773905,COMPLETE
1,1×15,4,tpe,13,16,1104.2733628827764,False,-28.478150287495502,COMPLETE
1,1×15,5,tpe,59,3,1628.4515498788926,False,5.471951900099381,COMPLETE
1,1×15,6,tpe,44,19,1395.5105679639082,False,-9.61522710865057,COMPLETE
1,1×15,7,tpe,21,12,1558.3654547977662,False,0.932598395960986,COMPLETE
1,1×15,8,tpe,45,9,1573.6080215426855,False,1.9198327209083508,COMPLETE
1,1×15,9,tpe,24,13,1543.4321476791426,False,-0.03460572518220338,COMPLETE
1,1×15,10,tpe,38,6,1605.5662230040919,False,3.9897094007529645,COMPLETE
1,1×15,11,tpe,60,3,1593.0799354622764,False,3.180994447508506,COMPLETE
1,1×15,12,tpe,60,3,1587.3399951072547,False,2.8092285739218426,COMPLETE
1,1×15,13,tpe,52,7,1594.4357187523958,False,3.268806154263351,COMPLETE
1,1×15,14,tpe,52,3,1618.8818810399114,False,4.85214122684971,COMPLETE
1,1×15,15,tpe,41,9,1574.1076926497894,False,1.952195542496906,COMPLETE
1,1×15,16,tpe,31,5,1616.408945716451,False,4.6919735414755435,COMPLETE
1,1×15,17,tpe,13,14,1136.5272504478555,False,-26.389122537110026,COMPLETE
1,1×15,18,tpe,55,8,1635.6272603893458,False,5.9367100894749525,COMPLETE
1,1×15,19,tpe,47,10,1589.9367909467105,False,2.9774184877659664,COMPLETE
1,1×15,20,tpe,52,8,1581.3549867667573,False,2.4215900765667433,COMPLETE
1,1×15,21,tpe,56,5,1540.200864014295,False,-0.2438903030990255,COMPLETE
1,1×15,22,tpe,56,5,1568.7423745269264,False,1.604693294103068,COMPLETE
1,1×15,23,tpe,56,7,1577.5211876286396,False,2.173281627770546,COMPLETE
1,1×15,24,tpe,41,4,1568.7561629636496,False,1.6055863469758747,COMPLETE
2,2×25,0,baseline,30,10,1078.5441583478128,True,0.0,COMPLETE
2,2×25,1,random,40,6,1082.0239294666467,True,0.3226359432667526,COMPLETE
2,2×25,2,random,35,7,1066.8663115931906,False,-1.0827416443023568,COMPLETE
2,2×25,3,random,50,5,1081.4220778291583,False,0.2668337183109995,COMPLETE
2,2×25,4,tpe,13,16,694.404416361299,False,-35.616505732594675,COMPLETE
2,2×25,5,tpe,59,3,1082.1273122269588,True,0.33222134220586363,COMPLETE
2,2×25,6,tpe,60,19,960.1961460251605,False,-10.972940830159962,COMPLETE
2,2×25,7,tpe,59,3,1059.8651090479784,False,-1.7318761735679113,COMPLETE
2,2×25,8,tpe,19,12,764.7300369528914,False,-29.096084658753625,COMPLETE
2,2×25,9,tpe,46,10,1049.7930381915885,False,-2.6657341689437346,COMPLETE
2,2×25,10,tpe,25,3,1090.3356037552503,True,1.0932742360313263,COMPLETE
2,2×25,11,tpe,26,3,1101.5344487436123,True,2.131603997653433,COMPLETE
2,2×25,12,tpe,25,8,1058.349883220497,False,-1.8723642394253603,COMPLETE
2,2×25,13,tpe,23,14,748.4680180704273,False,-30.60385963083964,COMPLETE
2,2×25,14,tpe,14,3,780.3257437808888,False,-27.650088525235272,COMPLETE
2,2×25,15,tpe,31,6,1075.0728272310512,False,-0.3218534067329424,COMPLETE
2,2×25,16,tpe,21,9,779.8918996444472,False,-27.690313501939627,COMPLETE
2,2×25,17,tpe,28,5,1070.0625210276983,False,-0.7863968530604473,COMPLETE
2,2×25,18,tpe,40,20,967.1846511034527,False,-10.324983579248915,COMPLETE
2,2×25,19,tpe,10,13,576.758634827103,False,-46.5243374262375,COMPLETE
2,2×25,20,tpe,17,4,791.1462053662477,False,-26.646841555548427,COMPLETE
2,2×25,21,tpe,53,3,1079.0733094071188,False,0.04906160357093296,COMPLETE
2,2×25,22,tpe,35,5,1079.3825679225297,False,0.07773530348551205,COMPLETE
2,2×25,23,tpe,26,7,1076.7664638683837,False,-0.16482352304909745,COMPLETE
2,2×25,24,tpe,40,3,1072.7903990939492,False,-0.5334746110606694,COMPLETE
3,3×35,0,baseline,30,10,550.950762869963,True,0.0,COMPLETE
3,3×35,1,random,40,6,773.8901904688512,True,40.46449204236913,COMPLETE
