iteration,opponent,win_rate,win_rate_lower95,win_rate_upper95,score_differential,bid_success_rate_current,bid_success_rate_opponent,policy_loss,value_loss,visit_entropy,kl_divergence,eval_games_played,eval_inconclusive
5,iter_000000,0.484375,0.4146879750162264,0.5546749983078401,2.1927083333333335,0.47150735294117646,0.45894607843137253,0.197206896296717,0.24950241575998838,0.0704062480023649,0.1332720427812086,192,true
10,iter_000000,0.5052083333333334,0.43508285403361446,0.5751294881916968,2.765625,0.49295343137254904,0.47671568627450983,0.1376642625195526,0.15180644882898187,0.06923580882382699,0.06496095915621446,192,true
15,iter_000000,0.5729166666666666,0.5021932381397646,0.6407795530145918,3.96875,0.48284313725490197,0.45986519607843135,0.1200705898401376,0.11526380081831678,0.06739378873113393,0.0498221815080442,192,true
