iteration,opponent,win_rate,win_rate_lower95,win_rate_upper95,score_differential,bid_success_rate_current,bid_success_rate_opponent,policy_loss,value_loss,visit_entropy,kl_divergence,eval_games_played,eval_inconclusive
5,iter_000000,0.734375,0.6151712617161998,0.8270362098609046,15.484375,0.3290441176470588,0.23805147058823528,0.48498102935946197,0.3282681573976838,0.4960779632205388,0.0568376015621645,64,false
10,iter_000000,0.96875,0.8425573603233156,0.9944621398972968,19.78125,0.35294117647058826,0.23529411764705882,0.47188564026838575,0.2864392050376481,0.4746548529687387,0.034512098841309236,32,false
15,iter_000000,0.875,0.7193169437055493,0.9502986564709404,22.71875,0.36764705882352944,0.22977941176470587,0.45675497394562253,0.3238451902467677,0.4738723241602077,0.0368519102984862,32,false
20,iter_000016,0.5052083333333334,0.43508285403361446,0.5751294881916968,1.9479166666666667,0.37806372549019607,0.36764705882352944,0.4466154930891297,0.12943029614387253,0.4593119308267115,0.0473470429874013,192,true
25,iter_000016,0.4791666666666667,0.4096078940730113,0.5495427370257441,0.3541666666666667,0.37346813725490197,0.3707107843137255,0.4455311475205899,0.10434482853746907,0.4725968508544423,0.04775854769635508,192,true
20,iter_000016,0.484375,0.4146879750162264,0.5546749983078401,2.3072916666666665,0.37653186274509803,0.3627450980392157,0.45981464649949755,0.28580009263895806,0.4855595125229606,0.04119909342200983,192,true
25,iter_000016,0.5364583333333334,0.4658989040967597,0.6055874914804186,1.9270833333333333,0.38449754901960786,0.3740808823529412,0.45685375199835276,0.2117658058808642,0.4755351930028215,0.04269174373848793,192,true
30,iter_000016,0.5729166666666666,0.5021932381397646,0.6407795530145918,4.6875,0.3939950980392157,0.36795343137254904,0.44579487516637223,0.10345070730554495,0.4723223114323114,0.04341591198184168,192,true
35,iter_000031,0.5625,0.4917854364984015,0.6307626702053324,4.421875,0.40441176470588236,0.3799019607843137,0.439144709227395,0.08174273752823792,0.4595572175861268,0.0449645423547707,192,true
40,iter_000031,0.4010416666666667,0.33431348256128407,0.4716520151578038,-1.6145833333333333,0.39246323529411764,0.4007352941176471,0.43398179418522725,0.07347538714304742,0.46664181029712143,0.04384882387620785,192,true
45,iter_000031,0.46875,0.39947014885366106,0.539255797794472,0.4635416666666667,0.3869485294117647,0.38419117647058826,0.42989487386795083,0.07070802066380463,0.4660004422588225,0.04303745707363228,192,true
50,iter_000031,0.4635416666666667,0.3944125085195815,0.5341010959032403,-0.5,0.39215686274509803,0.3939950980392157,0.42468229261715695,0.06586550680234415,0.4581392913498162,0.041963368106814815,192,true
55,iter_000031,0.5677083333333334,0.496985509768755,0.6357749391602903,6.322916666666667,0.4252450980392157,0.38909313725490197,0.4196298924184396,0.05853795698631746,0.46028096205940694,0.03951269034803614,192,true
60,iter_000031,0.515625,0.4453250016921599,0.5853120249837735,3.4583333333333335,0.40808823529411764,0.38756127450980393,0.42029768826407565,0.06047191713319876,0.4616028561337254,0.03908567561075938,192,true
65,iter_000031,0.484375,0.4146879750162264,0.5546749983078401,1.3020833333333333,0.39828431372549017,0.3900122549019608,0.4208665189817646,0.05864838310447239,0.46138290349018873,0.038989465850312655,192,true
70,iter_000031,0.5,0.4299729581337897,0.5700270418662103,3.1875,0.4111519607843137,0.39276960784313725,0.41672361567006383,0.056199266219596464,0.46129096139902126,0.038476216435628326,192,true
75,iter_000031,0.5625,0.4917854364984015,0.6307626702053324,5.151041666666667,0.421875,0.3912377450980392,0.4148131758584703,0.05683219224951414,0.47058272086739217,0.03817998514930835,192,true
80,iter_000031,0.703125,0.5822979879708777,0.8009484873959462,13.5625,0.4522058823529412,0.37316176470588236,0.41763463035780024,0.05265486573493923,0.46381232371562214,0.03740020431945689,64,false
85,iter_000031,0.4895833333333333,0.4197755162461521,0.5597997993032254,1.1510416666666667,0.40900735294117646,0.4010416666666667,0.41744634834334576,0.049914311620353424,0.47475308350891227,0.035443848007555935,192,true
90,iter_000031,0.546875,0.4762308506108661,0.6156802294169343,4.859375,0.43014705882352944,0.40012254901960786,0.4203017464435698,0.05013806512126529,0.4793818412632869,0.03486445366778862,192,true
