num_workers,mcts_config,num_determinizations,simulations_per_det,total_sims_per_move,num_games,elapsed_time_sec,games_per_minute,seconds_per_game,num_examples,examples_per_minute,cpu_percent
32,light,2,20,40,20,57.641462326049805,20.81834761949969,2.8820731163024904,480,499.64034286799256,3.2
32,medium,3,30,90,20,111.50141644477844,10.762195120582213,5.5750708222389225,480,258.29268289397316,1.9000000000000001
32,heavy,5,50,250,20,262.97491908073425,4.563172808246385,13.148745954036713,480,109.51614739791324,1.75
