config,num_determinizations,simulations_per_det,total_sims_per_move,num_games,elapsed_time_sec,games_per_minute,seconds_per_game,num_examples,examples_per_minute
light,2,20,40,20,27.78584623336792,43.1874555815732,1.389292311668396,320,690.9992893051711
medium,3,30,90,20,46.6683828830719,25.713340078798357,2.333419144153595,320,411.4134412607737
heavy,5,50,250,20,121.2230167388916,9.899110187834548,6.06115083694458,320,158.38576300535277
